,dataset,measures,reranking,BPR,ItemKNN,MultiVAE,NCL
0,Lastfm,HR,-,0.772875817,0.7647058824,0.7783224401,0.7930283224
1,Lastfm,HR,CM,0.5871459695,0.5806100218,0.5234204793,0.5713507625
2,Lastfm,MRR,-,0.491555789,0.4835438496,0.4763666269,0.5025635872
3,Lastfm,MRR,CM,0.2803631947,0.2701674188,0.2315510772,0.25986833
4,Lastfm,P,-,0.1781590414,0.1720588235,0.1757625272,0.1840413943
5,Lastfm,P,CM,0.0924836601,0.0887799564,0.075708061,0.0870915033
6,Lastfm,MAP,-,0.1414320431,0.1368780747,0.1376848529,0.1478055117
7,Lastfm,MAP,CM,0.0575349838,0.052850298,0.0446006456,0.0503258252
8,Lastfm,R,-,0.2237521058,0.2179957425,0.2240527362,0.234175124
9,Lastfm,R,CM,0.1190970827,0.1138116856,0.0978131449,0.1100275037
10,Lastfm,NDCG,-,0.2519527374,0.2450130734,0.2472599531,0.2610767171
11,Lastfm,NDCG,CM,0.125760163,0.1192720074,0.1015883717,0.1147860759
12,Lastfm,Jain_our,-,0.0581179243,0.0418729094,0.0972705698,0.0820771997
13,Lastfm,Jain_our,CM,0.1395795064,0.0936900109,0.2215530039,0.2148988962
14,Lastfm,QF_our,-,0.3618912193,0.4738713118,0.5172413793,0.4528972627
15,Lastfm,QF_our,CM,0.5275506577,0.6786349093,0.6775684323,0.6573053679
16,Lastfm,Ent_our,-,0.6102514494,0.5890357405,0.7070247127,0.6710129792
17,Lastfm,Ent_our,CM,0.7403509536,0.7354517027,0.8259913763,0.8104260066
18,Lastfm,FSat_our,-,0.1468183434,0.1290437256,0.2022751511,0.1777461785
19,Lastfm,FSat_our,CM,0.2278706008,0.216139353,0.3206541059,0.285815855
20,Lastfm,Gini_our,-,0.9102266709,0.9042422334,0.8389976586,0.8715139334
21,Lastfm,Gini_our,CM,0.818381705,0.7901292569,0.6955526531,0.7282231537
22,Lastfm,IBO_our,-,0.2075928918,0.2092084006,0.2605008078,0.2415185784
23,Lastfm,IBO_our,CM,0.2528271405,0.2564620355,0.2778675283,0.292003231
24,Lastfm,IWO_our,-,0.7924071082,0.7907915994,0.7394991922,0.7584814216
25,Lastfm,IWO_our,CM,0.7471728595,0.7435379645,0.7221324717,0.707996769
26,Lastfm,IAA_true_ori,-,0.003717025,0.0037409921,0.0037381195,0.003690957
27,Lastfm,IAA_true_ori,CM,0.0041369854,0.0041529349,0.004210173,0.004176902
28,Lastfm,IFD_div,-,0.0748089097,0.0737080398,0.0733518381,0.0759407574
29,Lastfm,IFD_div,CM,0.0543573002,0.0531808891,0.0490483406,0.0524045207
30,Lastfm,IFD_mul,-,0.0004579893,0.0004465502,0.0004424128,0.0004702954
31,Lastfm,IFD_mul,CM,0.0002155622,0.0002042961,0.0001720496,0.0001972926
32,Lastfm,HD,-,0.1035737216,0.0990921272,0.0947377606,0.0917559967
33,Lastfm,HD,CM,0.1735937627,0.1772988276,0.2028665095,0.1773511542
34,Lastfm,MME_ori,-,0.0007106639,0.0007520814,0.0005836941,0.0006584241
35,Lastfm,MME_ori,CM,0.0005363004,0.0006065379,0.0005385539,0.0005118852
36,Lastfm,II-F_ori,-,0.0013448717,0.0013560133,0.0013535895,0.0013326997
37,Lastfm,II-F_ori,CM,0.0015290954,0.0015378022,0.0015634707,0.0015468161
38,Lastfm,AI-F_ori,-,2.79426e-05,4.40581e-05,1.06586e-05,1.67993e-05
39,Lastfm,AI-F_ori,CM,1.24534e-05,1.92661e-05,9.7808e-06,9.4079e-06
40,Amazon-lb,HR,-,0.0114416476,0.0457665904,0.0389016018,0.0343249428
41,Amazon-lb,HR,CM,0.0205949657,0.0160183066,0.0137299771,0.0114416476
42,Amazon-lb,MRR,-,0.0027459954,0.0200310559,0.0234644582,0.0219107551
43,Amazon-lb,MRR,CM,0.0068332062,0.0107551487,0.0035305655,0.0031655225
44,Amazon-lb,P,-,0.0013729977,0.0050343249,0.0041189931,0.0038901602
45,Amazon-lb,P,CM,0.0020594966,0.0018306636,0.0016018307,0.0011441648
46,Amazon-lb,MAP,-,0.0020251716,0.0060935854,0.0056436381,0.0064454615
47,Amazon-lb,MAP,CM,0.0043351131,0.0035875922,0.0030208674,0.0009191457
48,Amazon-lb,R,-,0.0054347826,0.0134400243,0.0095646726,0.011757655
49,Amazon-lb,R,CM,0.0102784134,0.0045854603,0.0075228833,0.0025266972
50,Amazon-lb,NDCG,-,0.003228318,0.0109728998,0.0099909821,0.0106942612
51,Amazon-lb,NDCG,CM,0.0063704167,0.0051671151,0.0043965916,0.0019690582
52,Amazon-lb,Jain_our,-,0.2225964077,0.2713278778,0.0346471456,0.0257589879
53,Amazon-lb,Jain_our,CM,0.3585228442,0.4309584147,0.0971033665,0.0804184854
54,Amazon-lb,QF_our,-,0.5492957746,0.6504481434,0.2215108835,0.2291933419
55,Amazon-lb,QF_our,CM,0.5941101152,0.6120358515,0.28553137,0.3098591549
56,Amazon-lb,Ent_our,-,0.746980377,0.8020205095,0.4180155743,0.371410366
57,Amazon-lb,Ent_our,CM,0.8094283377,0.839461336,0.5576021147,0.5337358298
58,Amazon-lb,FSat_our,-,0.3137003841,0.3700384123,0.1139564661,0.0909090909
59,Amazon-lb,FSat_our,CM,0.3764404609,0.437900128,0.152368758,0.138284251
60,Amazon-lb,Gini_our,-,0.7468002076,0.6648107267,0.948836481,0.9594041014
61,Amazon-lb,Gini_our,CM,0.6600774349,0.597844596,0.8994992217,0.9101325481
62,Amazon-lb,IBO_our,-,0.019138756,0.0622009569,0.028708134,0.038277512
63,Amazon-lb,IBO_our,CM,0.038277512,0.028708134,0.028708134,0.023923445
64,Amazon-lb,IWO_our,-,0.980861244,0.9377990431,0.971291866,0.961722488
65,Amazon-lb,IWO_our,CM,0.961722488,0.971291866,0.971291866,0.976076555
66,Amazon-lb,IAA_true_ori,-,0.0112995712,0.0112282116,0.0112339975,0.011242355
67,Amazon-lb,IAA_true_ori,CM,0.0112918567,0.0112777133,0.0112944282,0.0112976426
68,Amazon-lb,IFD_div,-,0.0029216716,0.0047148558,0.004724437,0.0046580891
69,Amazon-lb,IFD_div,CM,0.0023051082,0.0028958793,0.0023116721,0.0025952306
70,Amazon-lb,IFD_mul,-,6.1823e-06,4.56951e-05,5.6984e-05,5.49226e-05
71,Amazon-lb,IFD_mul,CM,1.60388e-05,2.70504e-05,8.524e-06,6.1722e-06
72,Amazon-lb,HD,-,0.6610736669,0.580441771,0.5969554337,0.598250006
73,Amazon-lb,HD,CM,0.6262891757,0.6296345648,0.6531915223,0.6673610756
74,Amazon-lb,MME_ori,-,0.0010032502,0.0010108017,0.0031861084,0.0036969186
75,Amazon-lb,MME_ori,CM,0.0007600902,0.0007476723,0.0010504134,0.0010262744
76,Amazon-lb,II-F_ori,-,0.0056875025,0.0056493743,0.0056536658,0.0056548053
77,Amazon-lb,II-F_ori,CM,0.0056804853,0.0056786868,0.0056828467,0.0056890743
78,Amazon-lb,AI-F_ori,-,0.0003268122,0.0002939082,0.0014057642,0.0016508393
79,Amazon-lb,AI-F_ori,CM,0.000243965,0.000234008,0.0004383953,0.0004602991
80,QK-video,HR,-,0.0993170176,0.0395560615,0.109277177,0.1297666477
81,QK-video,HR,CM,0.0449630051,0.046670461,0.0614684121,0.0771200911
82,QK-video,MRR,-,0.0389818278,0.0130805576,0.0391862256,0.0481128773
83,QK-video,MRR,CM,0.0145632888,0.0132018412,0.0205869267,0.0242510683
84,QK-video,P,-,0.0105293113,0.0040978941,0.0116107001,0.0140011383
85,QK-video,P,CM,0.0046101309,0.0048093341,0.0064029596,0.0081957883
86,QK-video,MAP,-,0.0169652341,0.0046491406,0.0178206277,0.021764139
87,QK-video,MAP,CM,0.0059135407,0.0048787557,0.008873439,0.0100632804
88,QK-video,R,-,0.0432677998,0.0141113756,0.0505903238,0.0608006369
89,QK-video,R,CM,0.0192050598,0.0187156343,0.0269623629,0.0331253917
90,QK-video,NDCG,-,0.0289992966,0.0091458588,0.0313745209,0.0380900865
91,QK-video,NDCG,CM,0.0113122337,0.0104626223,0.0163296771,0.0193865834
92,QK-video,Jain_our,-,0.0805326472,0.4826887517,0.0123102429,0.0200757476
93,QK-video,Jain_our,CM,0.3788309583,0.589264211,0.0323092338,0.0712644132
94,QK-video,QF_our,-,0.6248245751,0.9008264463,0.0997972868,0.2011539061
95,QK-video,QF_our,CM,0.823483549,0.7902697645,0.1632621238,0.3647278965
96,QK-video,Ent_our,-,0.7554513637,0.9330419455,0.4196944083,0.5072780648
97,QK-video,Ent_our,CM,0.903395345,0.9372599237,0.5466262803,0.6739340621
98,QK-video,FSat_our,-,0.2116014346,0.4430063933,0.0519257758,0.0774988305
99,QK-video,FSat_our,CM,0.3818805551,0.5474816778,0.0898175581,0.1500077967
100,QK-video,Gini_our,-,0.8071820626,0.4715224216,0.982415465,0.9655647243
101,QK-video,Gini_our,CM,0.5700894209,0.4421661823,0.9592876717,0.9021984865
102,QK-video,IBO_our,-,0.0536454523,0.0326749573,0.0309680566,0.0429163619
103,QK-video,IBO_our,CM,0.0363326018,0.0375518166,0.0356010729,0.0536454523
104,QK-video,IWO_our,-,0.9463545477,0.9673250427,0.9690319434,0.9570836381
105,QK-video,IWO_our,CM,0.9636673982,0.9624481834,0.9643989271,0.9463545477
106,QK-video,IAA_true_ori,-,0.001144428,0.0011576212,0.0011434631,0.0011389636
107,QK-video,IAA_true_ori,CM,0.001156932,0.0011565087,0.0011536042,0.0011511428
108,QK-video,IFD_div,-,0.0138092086,0.0087692963,0.0135055356,0.0152865393
109,QK-video,IFD_div,CM,0.0082805501,0.0069481638,0.0093982432,0.0104993481
110,QK-video,IFD_mul,-,1.10428e-05,3.6155e-06,1.08446e-05,1.36105e-05
111,QK-video,IFD_mul,CM,4.0153e-06,3.5069e-06,5.653e-06,6.7431e-06
112,QK-video,HD,-,0.4899438134,0.5756927613,0.4778749061,0.4566089633
113,QK-video,HD,CM,0.5646262847,0.559643224,0.535490841,0.5187651048
114,QK-video,MME_ori,-,0.0001964412,0.0001826081,0.0002428844,0.0002430903
115,QK-video,MME_ori,CM,0.000182504,0.000181108,0.0001961875,0.0001911175
116,QK-video,II-F_ori,-,0.0006566169,0.0006661995,0.0006559222,0.0006528216
117,QK-video,II-F_ori,CM,0.0006655603,0.0006656187,0.0006630959,0.000661783
118,QK-video,AI-F_ori,-,6.8972e-06,1.1318e-06,5.31862e-05,3.53206e-05
119,QK-video,AI-F_ori,CM,8.585e-07,5.88e-07,1.19761e-05,5.0641e-06
120,ML-10M,HR,-,0.5121470781,0.487196323,0.4169402495,0.5213394616
121,ML-10M,HR,CM,0.3860801051,0.4432042022,0.3873933027,0.4018384767
122,ML-10M,MRR,-,0.2987308362,0.2817770378,0.2371697464,0.3018788627
123,ML-10M,MRR,CM,0.1848685239,0.2253504466,0.1907687938,0.2026649574
124,ML-10M,P,-,0.1458305975,0.1369008536,0.1066316481,0.1536441234
125,ML-10M,P,CM,0.0879842416,0.1050558109,0.0956007879,0.0937623112
126,ML-10M,MAP,-,0.0952796773,0.08874247,0.0665676492,0.1008765507
127,ML-10M,MAP,CM,0.0468321713,0.0595032995,0.0540548495,0.0517320009
128,ML-10M,R,-,0.0249292178,0.0222196936,0.0203132653,0.0262634703
129,ML-10M,R,CM,0.0122571758,0.0175677769,0.0161055933,0.0128459366
130,ML-10M,NDCG,-,0.1600120882,0.1501183381,0.1191290208,0.1673000146
131,ML-10M,NDCG,CM,0.091819778,0.1127202309,0.1004130172,0.0995202186
132,ML-10M,Jain_our,-,0.0374432858,0.0112370789,0.0033259346,0.0236978323
133,ML-10M,Jain_our,CM,0.1154368599,0.0271214583,0.0061541346,0.068848447
134,ML-10M,QF_our,-,0.144735501,0.0442360616,0.0144735501,0.0861278157
135,ML-10M,QF_our,CM,0.216491693,0.0676791357,0.0252777495,0.1324024055
136,ML-10M,Ent_our,-,0.5962199601,0.4066943261,0.2375543289,0.5192474819
137,ML-10M,Ent_our,CM,0.7160510579,0.514014371,0.3238874007,0.6380926879
138,ML-10M,FSat_our,-,0.144735501,0.0442360616,0.0144735501,0.0861278157
139,ML-10M,FSat_our,CM,0.216491693,0.0676791357,0.0252777495,0.1324024055
140,ML-10M,Gini_our,-,0.9451310019,0.9866495878,0.9966386109,0.9691572647
141,ML-10M,Gini_our,CM,0.8794757174,0.9710573097,0.9929843032,0.9299305936
142,ML-10M,IBO_our,-,0.0689086294,0.0313451777,0.0115482234,0.0535532995
143,ML-10M,IBO_our,CM,0.0912436548,0.0459390863,0.0176395939,0.0739847716
144,ML-10M,IWO_our,-,0.9310913706,0.9686548223,0.9884517766,0.9464467005
145,ML-10M,IWO_our,CM,0.9087563452,0.9540609137,0.9823604061,0.9260152284
146,ML-10M,IAA_true_ori,-,0.0084819353,0.0084921124,0.0085231042,0.0084722634
147,ML-10M,IAA_true_ori,CM,0.0085546159,0.0085311567,0.0085435326,0.0085456274
148,ML-10M,IFD_div,-,0.0194398982,0.0180213099,0.0158596363,0.019786572
149,ML-10M,IFD_div,CM,0.0113305125,0.0123542754,0.0103008602,0.0115452012
150,ML-10M,IFD_mul,-,8.83402e-05,8.2759e-05,6.62034e-05,9.1326e-05
151,ML-10M,IFD_mul,CM,4.91631e-05,6.10316e-05,5.28083e-05,5.40954e-05
152,ML-10M,HD,-,0.2255068738,0.2212666523,0.2648412731,0.217974278
153,ML-10M,HD,CM,0.2617229036,0.2547737549,0.2732247594,0.2568602719
154,ML-10M,MME_ori,-,0.0008899278,0.0013272114,0.0025075091,0.0010875648
155,ML-10M,MME_ori,CM,0.0006352729,0.0008447364,0.0014504852,0.0006867754
156,ML-10M,II-F_ori,-,0.0003511432,0.0003526759,0.0003537338,0.0003505665
157,ML-10M,II-F_ori,CM,0.0003569784,0.000354793,0.0003557915,0.0003568434
158,ML-10M,AI-F_ori,-,7.7081e-06,2.34041e-05,7.15824e-05,1.25552e-05
159,ML-10M,AI-F_ori,CM,3.4087e-06,8.3678e-06,3.35519e-05,4.4115e-06
